consumption,hour
1.00,0
0.33,1
0.80,2
0.40,3
0.93,4
0.67,5
0.67,6
1.07,7
1.07,8
0.67,9
0.47,10
0.73,11
0.13,12
0.60,13
0.20,14
1.00,15
0.80,16
0.33,17
1.27,18
1.00,19
0.40,20
1.00,21
0.73,22
1.40,23
